Elapsed time,HTTP Request (failure),HTTP Request (success)
22:52:14.0,,6.0
22:52:15.0,,39.0
22:52:16.0,,15.0
22:52:17.0,,17.0
22:52:18.0,,17.0
22:52:19.0,,13.0
22:52:20.0,,52.0
22:52:21.0,,40.0
22:52:22.0,,24.0
22:52:23.0,,18.0
22:52:24.0,,24.0
22:52:25.0,,33.0
22:52:26.0,,44.0
22:52:27.0,,36.0
22:52:28.0,,37.0
22:52:29.0,,29.0
22:52:30.0,,48.0
22:52:31.0,,42.0
22:52:32.0,,56.0
22:52:33.0,,36.0
22:52:34.0,,28.0
22:52:35.0,,64.0
22:52:36.0,,43.0
22:52:37.0,,57.0
22:52:38.0,,61.0
22:52:39.0,,46.0
22:52:40.0,,62.0
22:52:41.0,,52.0
22:52:42.0,,62.0
22:52:43.0,,58.0
22:52:44.0,,70.0
22:52:45.0,,57.0
22:52:46.0,,58.0
22:52:47.0,,63.0
22:52:48.0,,79.0
22:52:49.0,,49.0
22:52:50.0,,64.0
22:52:51.0,,89.0
22:52:52.0,,77.0
22:52:53.0,,50.0
22:52:54.0,,82.0
22:52:55.0,,58.0
22:52:56.0,,57.0
22:52:57.0,,60.0
22:52:58.0,,68.0
22:52:59.0,,57.0
22:53:00.0,5.0,70.0
22:53:01.0,,47.0
22:53:02.0,,80.0
22:53:03.0,,72.0
22:53:04.0,,70.0
22:53:05.0,,57.0
22:53:06.0,,70.0
22:53:07.0,,19.0
22:53:08.0,,75.0
22:53:09.0,,47.0
22:53:10.0,,58.0
22:53:11.0,,58.0
22:53:12.0,,62.0
22:53:13.0,,72.0
22:53:14.0,,58.0
22:53:15.0,114.0,47.0
22:53:16.0,99.0,2.0
