Elapsed time,HTTP Request (failure),HTTP Request (success)
06:30:59.0,,21.0
06:31:00.0,,27.0
06:31:01.0,,34.0
06:31:02.0,,36.0
06:31:03.0,,44.0
06:31:04.0,,29.0
06:31:05.0,,34.0
06:31:06.0,,31.0
06:31:07.0,,23.0
06:31:08.0,,34.0
06:31:09.0,,43.0
06:31:10.0,,24.0
06:31:11.0,,43.0
06:31:12.0,,21.0
06:31:13.0,,50.0
06:31:14.0,,8.0
06:31:15.0,,51.0
06:31:16.0,,16.0
06:31:17.0,,20.0
06:31:18.0,,24.0
06:31:19.0,,48.0
06:31:20.0,,9.0
06:31:21.0,,28.0
06:31:22.0,,17.0
06:31:23.0,,69.0
06:31:24.0,,10.0
06:31:25.0,,20.0
06:31:26.0,,23.0
06:31:27.0,,47.0
06:31:28.0,,58.0
06:31:29.0,,5.0
06:31:30.0,,27.0
06:31:31.0,,15.0
06:31:32.0,,46.0
06:31:33.0,,55.0
06:31:34.0,,21.0
06:31:35.0,,7.0
06:31:36.0,28.0,
06:31:37.0,,16.0
06:31:38.0,,39.0
06:31:39.0,,36.0
06:31:40.0,,27.0
06:31:41.0,,39.0
06:31:42.0,,42.0
06:31:43.0,,15.0
06:31:44.0,,37.0
06:31:45.0,,25.0
06:31:46.0,,11.0
06:31:47.0,,16.0
06:31:49.0,,1.0
06:31:50.0,,43.0
06:31:51.0,,13.0
06:31:52.0,,25.0
06:31:53.0,2.0,22.0
06:31:54.0,1.0,27.0
06:31:55.0,11.0,25.0
06:31:56.0,4.0,6.0
06:31:57.0,6.0,17.0
06:31:58.0,6.0,54.0
06:31:59.0,1.0,8.0
06:32:00.0,72.0,24.0
06:32:01.0,143.0,1.0
